,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
1837,Muzaffer,Uysal,Virginia Polytechnic Institute and State University,Professor,Muzaffer Uysal,Muzaffer Uysal,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006287365']
1838,Myounghoon,Jeon,Virginia Polytechnic Institute and State University,Associate Professor,Myounghoon Jeon,Myounghoon Jeon,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:35113142300', 'AUTHOR_ID:57218711953']"
1839,Myra,Martin-Adkins,Virginia Polytechnic Institute and State University,Assistant Professor,Myra E. Martin-Adkins,Myra Martin-Adkins,,,,,,,.,,,,,,,,,,,,
1840,Na,Meng,Virginia Polytechnic Institute and State University,Assistant Professor,Na Meng,Na Meng,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:42161811400', 'AUTHOR_ID:57217403326', 'AUTHOR_ID:57215444968']"
1841,Nadarajah,Nanthakumar,Virginia Polytechnic Institute and State University,Associate Professor,Nadarajah N. Nanthakumar,Nadarajah Nanthakumar,,,,,,,.,,,,,,,,,,,,
1842,Nadia,Rogers,Virginia Polytechnic Institute and State University,Associate Professor,Nadia Rogers,Nadia Rogers,,,,,,,.,,,,,,,,,,,,
1843,Nadine,Sinno,Virginia Polytechnic Institute and State University,Assistant Professor,Nadine A. Sinno,Nadine Sinno,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:44462088900']
1844,Nahum,Arav,Virginia Polytechnic Institute and State University,Associate Professor,Nahum Arav,Nahum Arav,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004138440']
1845,Nammalwar,Sriranganathan,Virginia Polytechnic Institute and State University,Professor,Nammalwar Sriranganathan,Nammalwar Sriranganathan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003810826']
1846,Nancy,Bodenhorn,Virginia Polytechnic Institute and State University,Associate Professor,Nancy E. Bodenhorn,Nancy Bodenhorn,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6506410311']
1847,Nancy,Mcgehee,Virginia Polytechnic Institute and State University,Associate Professor,Nancy G. Mcgehee,Nancy Mcgehee,,,,,,,.,,,,,,,"University of North Carolina, Chapel Hill",,,,,"['AUTHOR_ID:6506852141', 'AUTHOR_ID:57084414200']"
1848,Nancy,Ross,Virginia Polytechnic Institute and State University,Administrative - Professor,Nancy L. Ross,Nancy Ross,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57194101278', 'AUTHOR_ID:57211338890']"
1849,Nanyaporn,Intaratep,Virginia Polytechnic Institute and State University,Research Assistant Professor,Nanyaporn Intaratep,Nanyaporn Intaratep,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56081155300']
1850,Naraine,Persaud,Virginia Polytechnic Institute and State University,Associate Professor,Naraine Persaud,Naraine Persaud,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004338589']
1851,Narendran,Ramakrishnan,Virginia Polytechnic Institute and State University,Professor,Narendran Ramakrishnan,Narendran Ramakrishnan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:35507966200']
1852,Natalia,Mielczarek,Virginia Polytechnic Institute and State University,Assistant Professor,Natalia Mielczarek,Natalia Mielczarek,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57008261500']
1853,Natalie,Cherbaka,Virginia Polytechnic Institute and State University,Associate Professor,Natalie Cherbaka,Natalie Cherbaka,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:14520406800']
1854,Natalie,Tyne,Virginia Polytechnic Institute and State University,Associate Professor,Natalie Van Tyne,Natalie Tyne,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:49862290100']
1855,Natasha,Staley,Virginia Polytechnic Institute and State University,Assistant Professor,Natasha Staley,Natasha Staley,,,,,,,.,,,,,,,,,,,,
1856,Nathalie,Segeral,Virginia Polytechnic Institute and State University,Assistant Professor,Nathalie Segeral,Nathalie Segeral,,,,,,,.,,,,,,,,,,,,
1857,Nathan,Glatt-Holtz,Virginia Polytechnic Institute and State University,Assistant Professor,Nathan Glatt-Holtz,Nathan Glatt-Holtz,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:25926434800']
1858,Nathan,Hall,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Nathan Hall,Nathan Hall,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55756487600']
1859,Nathan,Heavers,Virginia Polytechnic Institute and State University,Assistant Professor,Nathan Heavers,Nathan Heavers,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57194943857']
1860,Nathan,Lau,Virginia Polytechnic Institute and State University,Assistant Professor,Nathan K. Lau,Nathan Lau,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:24331842500', 'AUTHOR_ID:57219219204']"
1861,Nathan,King,Virginia Polytechnic Institute and State University,Assistant Professor,Nathan King,Nathan King,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56712326800']
1862,Nathan,Adams,Virginia Polytechnic Institute and State University,Assistant Professor,Nathan P. Adams,Nathan Adams,,,,,,,.,,,,,,,,,,,,
1863,Nathan,Rockwood,Virginia Polytechnic Institute and State University,Assistant Professor,Nathan Rockwood,Nathan Rockwood,,,,,,,.,,,,,,,,,,,,
1864,Nathaniel,White,Virginia Polytechnic Institute and State University,Admin - Professor and ES,Nathaniel A. White,Nathaniel White,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7401767108']
1865,Natsuko,Nicholls,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Natsuko Nicholls,Natsuko Nicholls,,,,,,,.,,,,,,,,,,,,
1866,Navid,Ghaffarzadegan,Virginia Polytechnic Institute and State University,Assistant Professor,Navid Ghaffarzadegan,Navid Ghaffarzadegan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:25633584800']
1867,Nazila,Roofigari-Esfahan,Virginia Polytechnic Institute and State University,Assistant Professor,Nazila Roofigari-Esfahan,Nazila Roofigari-Esfahan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:47562238900']
1868,Neil,Shumsky,Virginia Polytechnic Institute and State University,Associate Professor,Neil L. Shumsky,Neil Shumsky,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6506122950']
1869,Neil,Hauenstein,Virginia Polytechnic Institute and State University,Associate Professor,Neil M. Hauenstein,Neil Hauenstein,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6506914974']
1870,Nicholas,Clegorne,Virginia Polytechnic Institute and State University,Assistant Professor,Nicholas A. Clegorne,Nicholas Clegorne,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56869011100']
1871,Nicholas,Stone,Virginia Polytechnic Institute and State University,Professor,Nicholas D. Stone,Nicholas Stone,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7202511185']
1872,Nicholas,Mayhall,Virginia Polytechnic Institute and State University,Assistant Professor,Nicholas Mayhall,Nicholas Mayhall,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:21735093200']
1873,Nicole,Pitterson,Virginia Polytechnic Institute and State University,Assistant Professor,Nicole Pitterson,Nicole Pitterson,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56301141400']
1874,Nicole,Weinstein,Virginia Polytechnic Institute and State University,Assistant Professor,Nicole Weinstein,Nicole Weinstein,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57213570673']
1875,Nikolaos,Dervisis,Virginia Polytechnic Institute and State University,Assistant Professor,Nikolaos Dervisis,Nikolaos Dervisis,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:18633513300']
1876,Nikolaos,Xiros,Virginia Polytechnic Institute and State University,Associate Professor,Nikolaos Xiros,Nikolaos Xiros,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24175433600']
1877,Niloy,Bose,Virginia Polytechnic Institute and State University,Professor,Niloy Bose,Niloy Bose,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102389634']
1878,Nina,Stark,Virginia Polytechnic Institute and State University,Assistant Professor,Nina Stark,Nina Stark,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24476701700']
1879,Nino,Ripepi,Virginia Polytechnic Institute and State University,Research Assistant Professor,Nino S. Ripepi,Nino Ripepi,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24339613300']
1880,Nisha,Duggal,Virginia Polytechnic Institute and State University,Assistant Professor,Nisha Duggal,Nisha Duggal,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:12792812400']
1881,Niyousha,Hosseinichimeh,Virginia Polytechnic Institute and State University,Assistant Professor,Niyousha Hosseinichimeh,Niyousha Hosseinichimeh,,,,,,,.,,,,,,,University of Georgia,,,,,['AUTHOR_ID:56095659700']
1882,Noah,Pavlisko,Virginia Polytechnic Institute and State University,Assistant Professor,Noah D. Pavlisko,Noah Pavlisko,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55975413200']
1883,Noelle,Muro,Virginia Polytechnic Institute and State University,Assistant Professor,Noelle Muro,Noelle Muro,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57193953636']
1884,Noreen,Klein,Virginia Polytechnic Institute and State University,Associate Professor,Noreen M. Klein,Noreen Klein,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7201775978']
1885,Norma,Day-Vines,Virginia Polytechnic Institute and State University,Associate Professor,Norma L. Day-Vines,Norma Day-Vines,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6506761841']
1886,Norman,Dowling,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Norman E. Dowling,Norman Dowling,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7005078895']
1887,Nyusya,Milman-Miller,Virginia Polytechnic Institute and State University,Associate Professor,Nyusya Milman-Miller,Nyusya Milman-Miller,,,,,,,.,,,,,,,,,,,,
1888,Olga,Bruyaka,Virginia Polytechnic Institute and State University,Assistant Professor,Olga Bruyaka,Olga Bruyaka,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:25652699400']
1889,Olivera,Nesic-Taylor,Virginia Polytechnic Institute and State University,Associate Professor,Olivera Nesic-Taylor,Olivera Nesic-Taylor,,,,,,,.,,,,,,,,,,,,
1890,Olivier,Coutier-Delgosha,Virginia Polytechnic Institute and State University,Associate Professor,Olivier Coutier-Delgosha,Olivier Coutier-Delgosha,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6602165045']
1891,Oscar,Solis,Virginia Polytechnic Institute and State University,Assistant Professor,Oscar J. Solis,Oscar Solis,,,,,,,.,,,,,,,,,,,,
1892,Osman,Balci,Virginia Polytechnic Institute and State University,Professor,Osman Balci,Osman Balci,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57206173567', 'AUTHOR_ID:7003536585']"
1893,Otto,Lanz,Virginia Polytechnic Institute and State University,Associate Professor,Otto I. Lanz,Otto Lanz,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003450114']
1894,Oumar,Barry,Virginia Polytechnic Institute and State University,Assistant Professor,Oumar Barry,Oumar Barry,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56853497100']
1895,Ozgur,Ince,Virginia Polytechnic Institute and State University,Assistant Professor,Ozgur S. Ince,Ozgur Ince,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:15047991300']
1896,Pablo,Tarazaga,Virginia Polytechnic Institute and State University,Assistant Professor,Pablo A. Tarazaga,Pablo Tarazaga,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:6602131108', 'AUTHOR_ID:57197875226']"
1897,Pablo,Sobrado,Virginia Polytechnic Institute and State University,Assistant Professor,Pablo Sobrado,Pablo Sobrado,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6603634771']
1898,Padmavathy,Rajagopalan,Virginia Polytechnic Institute and State University,Associate Professor,Padmavathy Rajagopalan,Padmavathy Rajagopalan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102580100']
1899,Palanivel,Manoharan,Virginia Polytechnic Institute and State University,Assistant Professor,Palanivel Manoharan,Palanivel Manoharan,,,,,,,.,,,,,,,,,,,,
1900,Pamela,Weaver,Virginia Polytechnic Institute and State University,Professor,Pamela A. Weaver,Pamela Weaver,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:14014230100']
1901,Pamela,Murray-Tuite,Virginia Polytechnic Institute and State University,Assistant Professor,Pamela M. Murray-Tuite,Pamela Murray-Tuite,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:18234214300']
1902,Pamela,Vandevord,Virginia Polytechnic Institute and State University,Associate Professor,Pamela Vandevord,Pamela Vandevord,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6506311470']
1903,Pamelia,Brott,Virginia Polytechnic Institute and State University,Associate Professor,Pamelia E. Brott,Pamelia Brott,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6506945198']
1904,Panayiotis,Diplas,Virginia Polytechnic Institute and State University,Professor,Panayiotis Diplas,Panayiotis Diplas,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:35508811200']
1905,Pankaj,Kumar,Virginia Polytechnic Institute and State University,Assistant Professor,Pankaj Kumar,Pankaj Kumar,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57193618534', 'AUTHOR_ID:57201898983']"
1906,Paola,Zellner,Virginia Polytechnic Institute and State University,Assistant Professor,Paola A. Zellner Bassett,Paola Zellner Bassett,,,,,,,.,,,,,,,,,,,,
1907,Paolo,Mattavelli,Virginia Polytechnic Institute and State University,Professor,Paolo Mattavelli,Paolo Mattavelli,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004204091']
1908,Parakh,Hoon,Virginia Polytechnic Institute and State University,Assistant Professor,Parakh N. Hoon,Parakh Hoon,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6701420851']
1909,Parameswaran,Mallikarjunan,Virginia Polytechnic Institute and State University,Associate Professor,Parameswaran K. Mallikarjunan,Parameswaran Mallikarjunan,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6603946990']
1910,Parviz,Ghandforoush,Virginia Polytechnic Institute and State University,Professor,Parviz Ghandforoush,Parviz Ghandforoush,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6601984712']
1911,Patricia,Raun,Virginia Polytechnic Institute and State University,Professor,Patricia A. Raun,Patricia Raun,,,,,,,.,,,,,,,,,,,,
1912,Patricia,Amateis,Virginia Polytechnic Institute and State University,Associate Professor,Patricia G. Amateis,Patricia Amateis,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7801582922']
1913,Patricia,Fisher,Virginia Polytechnic Institute and State University,Assistant Professor,Patricia J. Fisher,Patricia Fisher,,,,,,,.,,,,,,,,,,,,
1914,Patricia,Nickel,Virginia Polytechnic Institute and State University,Assistant Professor,Patricia M. Nickel,Patricia Nickel,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:26321758400', 'AUTHOR_ID:57192389515']"
1915,Patricia,Lavender,Virginia Polytechnic Institute and State University,Associate Professor,Patricia S. Lavender,Patricia Lavender,,,,,,,.,,,,,,,,,,,,
1916,Patrick,Doan,Virginia Polytechnic Institute and State University,Assistant Professor,Patrick A. Doan,Patrick Doan,,,,,,,.,,,,,,,,,,,,
1917,Patrick,Miller,Virginia Polytechnic Institute and State University,Professor,Patrick A. Miller,Patrick Miller,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7404427823']
1918,Patrick,Finley,Virginia Polytechnic Institute and State University,Assistant Professor,Patrick Finley,Patrick Finley,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57197835671']
1919,Patrick,Tomlin,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Patrick L. Tomlin,Patrick Tomlin,,,,,,,.,,,,,,,,,,,,
1920,Patrick,Pithua,Virginia Polytechnic Institute and State University,Associate Professor,Patrick Pithua,Patrick Pithua,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:26024453600', 'AUTHOR_ID:57217887184']"
1921,Patrick,Schaumont,Virginia Polytechnic Institute and State University,Associate Professor,Patrick R. Schaumont,Patrick Schaumont,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003736389']
1922,Paul,Deck,Virginia Polytechnic Institute and State University,Associate Professor,Paul A. Deck,Paul Deck,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003397776']
1923,Paul,Estabrooks,Virginia Polytechnic Institute and State University,Professor,Paul A. Estabrooks,Paul Estabrooks,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006262947']
1924,Paul,Ampadu,Virginia Polytechnic Institute and State University,Professor,Paul Ampadu,Paul Ampadu,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7801582944']
1925,Paul,Avey,Virginia Polytechnic Institute and State University,Assistant Professor,Paul Avey,Paul Avey,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55606815700']
1926,Paul,Roberts,Virginia Polytechnic Institute and State University,Associate Professor,Paul C. Roberts,Paul Roberts,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7403047842']
1927,Paul,Metz,Virginia Polytechnic Institute and State University,Professional - Professor,Paul D. Metz,Paul Metz,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7103110656']
1928,Paul,Plassmann,Virginia Polytechnic Institute and State University,Professor,Paul E. Plassmann,Paul Plassmann,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003708748']
1929,Paul,Emmons,Virginia Polytechnic Institute and State University,Associate Professor,Paul F. Emmons,Paul Emmons,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:26035345900']
1930,Paul,Kelsch,Virginia Polytechnic Institute and State University,Associate Professor,Paul J. Kelsch,Paul Kelsch,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:54929848400']
1931,Paul,Hover,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Paul L. Hover,Paul Hover,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:15839566400']
1932,Paul,Knox,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Paul L. Knox,Paul Knox,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006264927']
1933,Paul,Sorrentino,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Paul M. Sorrentino,Paul Sorrentino,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:26034657400']
1934,Paul,Winistorfer,Virginia Polytechnic Institute and State University,Administrative - Professor,Paul M. Winistorfer,Paul Winistorfer,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004197152']
1935,Paul,Marek,Virginia Polytechnic Institute and State University,Assistant Professor,Paul Marek,Paul Marek,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:8657329700']
1936,Paul,Morton,Virginia Polytechnic Institute and State University,Assistant Professor,Paul Morton,Paul Morton,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:36025782800', 'AUTHOR_ID:57214541482']"
1937,Paul,Carlier,Virginia Polytechnic Institute and State University,Professor,Paul R. Carlier,Paul Carlier,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7102383847']
1938,Paul,Steger,Virginia Polytechnic Institute and State University,Professor,Paul Steger,Paul Steger,,,,,,,.,,,,,,,,,,,,
1939,Paul,Harrill,Virginia Polytechnic Institute and State University,Assistant Professor,Paul T. Harrill,Paul Harrill,,,,,,,.,,,,,,,,,,,,
1940,Paul,Heilker,Virginia Polytechnic Institute and State University,Associate Professor,Paul V. Heilker,Paul Heilker,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:23467049800']
1941,Paulo,Polanah,Virginia Polytechnic Institute and State University,Assistant Professor,Paulo S. Polanah,Paulo Polanah,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:26665054900']
1942,Pavlos,Vlachos,Virginia Polytechnic Institute and State University,Professor,Pavlos P. Vlachos,Pavlos Vlachos,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7003275087']
1943,Pawel,Michalak,Virginia Polytechnic Institute and State University,Research Associate Professor,Pawel Michalak,Pawel Michalak,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6603442556']
1944,Pearl,Chiu,Virginia Polytechnic Institute and State University,Assistant Professor,Pearl H. Chiu,Pearl Chiu,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:15833850100']
1945,Pedro,Fernandez,Virginia Polytechnic Institute and State University,Assistant Professor,Pedro Fernandez,Pedro Fernandez,,,,,,,.,,,,,,,,,,,,
1946,Peggy,Quesenberry,Virginia Polytechnic Institute and State University,Assistant Professor,Peggy Quesenberry,Peggy Quesenberry,,,,,,,.,,,,,,,,,,,,
1947,Peggy,Meszaros,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Peggy S. Meszaros,Peggy Meszaros,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7006292082']
1948,Peizhen,Lu,Virginia Polytechnic Institute and State University,Associate Professor,Peizhen Lu,Peizhen Lu,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55504654000']
1949,Pendleton,Montague,Virginia Polytechnic Institute and State University,"Virginia Tech, professor",Pendleton R. Montague,Pendleton Montague,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7004572764']
1950,Penny,Burge,Virginia Polytechnic Institute and State University,Professor,Penny L. Burge,Penny Burge,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:36709557300', 'AUTHOR_ID:57192359273']"
1951,Peter,Schultz,Virginia Polytechnic Institute and State University,Professor,Peter B. Schultz,Peter Schultz,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7202484851']
1952,Peter,Doolittle,Virginia Polytechnic Institute and State University,Associate Professor,Peter E. Doolittle,Peter Doolittle,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:25924785500']
1953,Peter,Kennelly,Virginia Polytechnic Institute and State University,Professor,Peter J. Kennelly,Peter Kennelly,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7005273271']
1954,Peter,Vikesland,Virginia Polytechnic Institute and State University,Associate Professor,Peter J. Vikesland,Peter Vikesland,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:6603770862', 'AUTHOR_ID:57217684802']"
1955,Peter,Athanas,Virginia Polytechnic Institute and State University,Professor,Peter M. Athanas,Peter Athanas,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6701824326']
1956,Peter,Graham,Virginia Polytechnic Institute and State University,Professor,Peter W. Graham,Peter Graham,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:36117657900']
1957,Peter,Wapperom,Virginia Polytechnic Institute and State University,Associate Professor,Peter Wapperom,Peter Wapperom,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56519893400']
1958,Peter,Ziegler,Virginia Polytechnic Institute and State University,Assistant Professor,Peter Ziegler,Peter Ziegler,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:16314560800']
1959,Petra,Rivera-Rideau,Virginia Polytechnic Institute and State University,Assistant Professor,Petra Rivera-Rideau,Petra Rivera-Rideau,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55627329900']
1960,Phat,Nguyen,Virginia Polytechnic Institute and State University,Assistant Professor,Phat Nguyen,Phat Nguyen,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57203966632']
1961,Philip,Young,Virginia Polytechnic Institute and State University,Prof - Assistant Professor,Philip E. Young,Philip Young,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:28368063900']
1962,Philip,Radtke,Virginia Polytechnic Institute and State University,Associate Professor,Philip J. Radtke,Philip Radtke,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6701493229']
1963,Phillip,Wiseman,Virginia Polytechnic Institute and State University,Associate Professor,Phillip E. Wiseman,Phillip Wiseman,,,,,,,.,,,,,,,,,,,,
1964,Phillip,Paglialonga,Virginia Polytechnic Institute and State University,Assistant Professor,Phillip O. Paglialonga,Phillip Paglialonga,,,,,,,.,,,,,,,,,,,,
1965,Phillip,Thompson,Virginia Polytechnic Institute and State University,Assistant Professor,Phillip Thompson,Phillip Thompson,,,,,,,.,,,,,,,,,,,,
1966,Piedad,Henao,Virginia Polytechnic Institute and State University,Assistant Professor,Piedad N. Henao,Piedad Henao Guerrero,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:9247563600']
1967,Pierre,Olivier,Virginia Polytechnic Institute and State University,Research Assistant Professor,Pierre Olivier,Pierre Olivier,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:57194115005']
1968,Pinar,Acar,Virginia Polytechnic Institute and State University,Assistant Professor,Pinar Acar,Pinar Acar,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55806314900']
1969,Pinhas,Ben-Tzvi,Virginia Polytechnic Institute and State University,Associate Professor,Pinhas Ben-Tzvi,Pinhas Ben-Tzvi,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:15753747100']
1970,Pooja,Thakur,Virginia Polytechnic Institute and State University,Assistant Professor,Pooja Thakur,Pooja Thakur,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57192981073', 'AUTHOR_ID:36603379500']"
1971,Pooja,Wernz,Virginia Polytechnic Institute and State University,Assistant Professor,Pooja Thakur Wernz,Pooja Wernz,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:57192981073', 'AUTHOR_ID:56449323400']"
1972,Pradeep,Raj,Virginia Polytechnic Institute and State University,Professor,Pradeep Raj,Pradeep Raj,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56735703300']
1973,Pratap,Tokekar,Virginia Polytechnic Institute and State University,Assistant Professor,Pratap Tokekar,Pratap Tokekar,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:36464388500']
1974,Qiang,Li,Virginia Polytechnic Institute and State University,Assistant Professor,Qiang Li,Qiang Li,,,,,,,.,,,,,,,,,,,,"['AUTHOR_ID:55703476600', 'AUTHOR_ID:56227076700']"
1975,Quentin,Fischer,Virginia Polytechnic Institute and State University,Research Assistant Professor,Quentin S. Fischer,Quentin Fischer,,,,,,,.,,,,,,,,,,,,
1976,Quinn,Warnick,Virginia Polytechnic Institute and State University,Assistant Professor,Quinn Warnick,Quinn Warnick,,,,,,,.,,,,,,,,,,,,
1977,Quinton,Nottingham,Virginia Polytechnic Institute and State University,Associate Professor,Quinton J. Nottingham,Quinton Nottingham,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:6602676519']
1978,Rachel,Diana,Virginia Polytechnic Institute and State University,Assistant Professor,Rachel A. Diana,Rachel Diana,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:8680147700']
1979,Rachel,Gross,Virginia Polytechnic Institute and State University,Assistant Professor,Rachel B. Gross,Rachel Gross,,,,,,,.,,,,,,,,,,,,
1980,Rachel,Holloway,Virginia Polytechnic Institute and State University,Admin - Associate Professor,Rachel L. Holloway,Rachel Holloway,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7103241620']
1981,Rachel,Scott,Virginia Polytechnic Institute and State University,Associate Professor,Rachel M. Scott,Rachel Scott,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:55320278300']
1982,Rachel,Weaver,Virginia Polytechnic Institute and State University,Assistant Professor,Rachel Weaver,Rachel Weaver,,,,,,,.,,,,,,,,,,,,
1983,Rachelle,Brunn,Virginia Polytechnic Institute and State University,Assistant Professor,Rachelle J. Brunn,Rachelle Brunn,,,,,,,.,,,,,,,,,,,,
1984,Rafael,Patrick,Virginia Polytechnic Institute and State University,Research Asst Professor AY,Rafael Patrick,Rafael Patrick,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:36523723200']
